Application ID,Submission Date,Agent,Product,Monthly Commission,Theater,Region,SubRegion,r,p_1,p_2,p_3
0066000001EacLZ,42762.33333,Donte Kiser,MS,75,Americas,USA,Northwest,0,0.010021578,0.00979009,0.005835668
0066000001Soky2,42735.33333,Kym Rothermel,MS,5,Americas,Latin America,Latin America,0,0,0.007455011,0
0066000000dyGAT,42759.33333,Mathilde Butkovich,MA,355,EMEA,Middle East,Middle East,0,0.112612453,0.115353483,0.057465252
00660000018IHgg,42704.33333,Michael Jordan,MS,5,Americas,USA,Southwest,0,0,0.025669446,0
0066000000s7jDN,42794.33333,Edwina Fortson,MS,5,Americas,USA,Southeast,0,0,0.025669446,0
0066000001EdZM4,42854.29167,Frederick Saul,IFP,147.6553,Asia Pacific,Thailand,Thailand,0,0.024161108,0.025182344,0.020321342
0066000001EacLA,42855.29167,Tamar Boatner,MA,5,Americas,USA,Southeast,0,0,0.025669446,0
0066000001L7pwz,42813.29167,Mathilde Butkovich,MS,155,EMEA,Middle East,Middle East,0,0.092535072,0.1023383,0.073399664
0066000001EaeXM,42724.33333,Genevieve Childress,MA,55,Asia Pacific,AUS/NZ,AUS/NZ,0,0.085258793,0.097509478,0.050411661
0066000001SnhT6,42727.33333,Tom Brady,MA,5,Americas,USA,Southwest,0,0,0.097509478,0
0066000001aNmKl,42858.29167,Fredricka Liu,MA,75,EMEA,Western Europe,Western Europe,0,0.009536376,0.012981802,0.008089101
0066000000mpJaz,42788.33333,Marco Dunavant,MS,82.5285,Asia Pacific,Japan,Japan,0,0.127972599,0.123765458,0.079518445
0066000001MEi1Z,42794.33333,Darin Pellegren,IFP,55.56512,Americas,Canada,Canada,1,0.126940179,0.121267387,0.128923729
0066000000mqYjs,42190.29167,Tom Brady,IFP,5,Americas,USA,Southwest,0,0.023797865,0.028419283,0.012114211
0066000001Ebipo,42794.33333,Marcell Rosamond,MA,153.7589,EMEA,Central Europe,Central Europe,0,0.011906944,0.021270736,0.008558267
0066000001EaeX2,42855.29167,Tressa Kennamer,MA,5,Asia Pacific,AUS/NZ,AUS/NZ,0,0,0.028419283,0
0066000001EZh44,42760.33333,Arnold Palmer,MA,272.996,EMEA,Spain and Portugal,Spain and Portugal,0,0.087948749,0.043974375,0.066340115
0066000001MDuzP,42762.33333,Jimmie Fulford,MS,5,Americas,USA,Northeast,0,0,0.043974375,0
0066000001Ea46p,42734.33333,Michael Jordan,MA,258.7218,Americas,USA,Southwest,0,0.115144636,0.122220958,0.092373924
0066000001Spm98,42785.33333,Genevieve Childress,MS,155,Asia Pacific,AUS/NZ,AUS/NZ,0,0.0578859,0.048357671,0.047143292
0066000001aOOvw,42871.29167,Elizbeth Kidney,MS,263.9231,Americas,USA,Southeast,0,0.009221625,0.004610812,0.007827012
0066000001EaxX4,42735.33333,Raeann Uriarte,MA,5,Americas,Latin America,Latin America,0,0,0.005379317,0
0066000000mt1Dd,43100.33333,Randa Stoneham,MS,285,Asia Pacific,Singapore,Singapore,0,0,0,0
0066000001aMlwM,42766.33333,Grace Hawley,MA,5,Asia Pacific,Korea,Korea,0,0.154719816,0.147519143,0.111816238
0066000000WjQtn,42794.33333,Cassondra Petrick,MA,5,EMEA,Israel,Israel,0,0,0,0
00660000018Kdsd,42734.33333,Michael Jordan,IFP,158.792,Americas,USA,Southwest,0,0.257641321,0.252339266,0.144430177
0066000001MEQVK,42703.33333,Evelia Biondi,MS,5,Americas,USA,Mountain,0,0.180461959,0.217856432,0.2796976
0066000001MDrtQ,42765.33333,Randa Stoneham,MS,5,Asia Pacific,Singapore,Singapore,0,0,0,0
0066000001aPGWb,42823.29167,Darin Pellegren,MS,5,Americas,Canada,Canada,0,0.047627939,0.038240571,0.033271409
0066000000g3Now,42429.33333,Tom Brady,MA,5,Americas,USA,Southwest,0,0,0,0
0066000001SoRkG,42780.33333,Jimmie Fulford,MA,5,Americas,USA,Northeast,0,0,0.217856432,0
0066000001EarM1,42855.29167,Mariann Hardman,MA,125,EMEA,Northern Europe,Northern Europe,0,0.032208301,0.024693546,0.018226028
00660000012M26m,42794.33333,Latrina Pettry,MS,2.65556,Americas,Canada,Canada,0,0.134894231,0.145080824,0.102674385
0066000001EdR7H,42842.29167,Xavier Mangold,MS,5,EMEA,Central Europe,Central Europe,0,0,0.145080824,0
0066000000waWkY,42737.375,Sadie Read,MS,64.29825,Americas,Canada,Canada,0,0.092339373,0.092198004,0.078364901
0066000001MDrtz,42309.29167,Tom Brady,MS,5,Americas,USA,Southwest,0,0.019439287,0.021612727,0.014134481
0066000001Ec7yB,42884.29167,Tamar Boatner,MS,5,Americas,USA,Southeast,0,0,0.021612727,0
00660000018IbXI,42816.29167,Edwina Fortson,IFP,63.22125,Americas,USA,Southeast,0,0.010595679,0.016245574,0.007282086
0066000001SqLHl,42762.33333,Kym Rothermel,MS,5,Americas,USA,Southeast,0,0.076435203,0.077369789,0.058814301
0066000001SqCnb,42779.33333,Fredricka Liu,MS,126.128,Asia Pacific,Japan,Japan,0,0.030831453,0.031982547,0.021609706
0066000001Ec3Hf,42751.33333,Ulysses Veitch,PDP,5,Americas,USA,Central,0,0,0.077369789,0
0066000001MEeUs,42727.33333,Mariann Hardman,MS,155,EMEA,Northern Europe,Northern Europe,0,0.05133315,0.050035993,0.041251783
0066000001EcvvL,42760.33333,Tressa Kennamer,PDP,65,Asia Pacific,AUS/NZ,AUS/NZ,0,0.031687232,0.030505743,0.017492154
0066000001MFh05,42733.33333,Marco Dunavant,MA,35,EMEA,Western Europe,Western Europe,0,0.055064941,0.064592896,0.040074077
0066000001So24W,42735.33333,Ted Williams,DT,855.1965,Americas / Asia Pacific,AUS/NZ / USA,AUS/NZ / Southwest,0,0.077113852,0.038556926,0.03929399
0066000001MGW4c,42766.33333,Xavier Mangold,MS,147.9555,EMEA,Central Europe,Central Europe,0,0.112516141,0.115467293,0.082053569
0066000000WjSF8,42780.33333,Tom Brady,MA,55,Americas,USA,Southwest,0,0,0,0
00660000018J9nf,42735.33333,Mia Hamm,PDP,5,Americas,Canada,Canada,1,0,0,0
0066000001SnL3R,42740.375,Ulysses Veitch,MA,124.22,Americas,USA,Central,0,0.347249762,0.354983062,0.325502658
0066000001Ead4q,42761.33333,Frederick Saul,PDP,215.465,Americas,USA,Northwest,0,0.109675681,0.054837841,0.092476411
0066000001MHKVT,42788.33333,Marco Dunavant,MS,59.3435,Asia Pacific,Japan,Japan,0,0.045187233,0.052569881,0.036560675
00660000018Hqr6,42709.33333,Mia Hamm,PDP,54.36558,Americas,USA,Southwest,1,0.543341592,0.546481443,0.115670984
0066000000mrbpM,42762.33333,Evelia Biondi,IFP,91.4855,Americas,USA,Mountain,0,0.142942954,0.138582837,0.11364577
0066000001MGWo9,42720.33333,Kandi Citizen,MA,95.1155,Americas,USA,Central,0,0.345210759,0.347227936,0.313545243
0066000001MECNk,42977.29167,Fredricka Liu,MS,299.654,Asia Pacific,Japan,Japan,0,0.018414297,0.009207149,0.013882041
0066000001SnSa1,42886.29167,Danica Patrick,IFP,5,Americas,USA,Southwest,0,0,0.001266649,0
0066000001aPNHu,42886.29167,Nicolette Wadkins,MA,5,Americas,USA,Southeast,0,0,0.002087387,0
0066000001MHK0o,42766.33333,Wilma Rudolph,MA,5,Americas,USA,Southwest,0,0,0.009207149,0
0066000001aPPf7,42791.33333,Livia Twine,MA,5,Asia Pacific,Malaysia,Malaysia,0,0.011803823,0.012063761,0.006517609
0066000001EdLZU,42794.33333,Mariko Miers,MS,88.5735,Americas,USA,Mountain,0,0.055664973,0.05683603,0.046100393
00660000018L7BN,43648.29167,Mia Hamm,PDP,5.38521,Americas,USA,Southwest,0,0.097907046,0.097669814,0.079395924
0066000001Spf87,42760.33333,Livia Twine,MA,155.9896,Asia Pacific,Malaysia,Malaysia,0,0.173728054,0.182854355,0.110661483
0066000000s923k,42794.33333,Danica Patrick,MS,162.643,Americas,USA,Southwest,0,0.049430569,0.053901522,0.027908301
0066000001Spzkx,42794.33333,Raeann Uriarte,MA,21,Americas,Latin America,Latin America,0,0.008458405,0.009953345,0.005007666
0066000001SnCBm,42823.29167,Raeann Uriarte,PDP,52.25,Americas,Latin America,Latin America,0,0.002698536,0.007245116,0.001823805
00660000018HzFM,42762.33333,Edwina Fortson,MS,159.73724,Americas,USA,Southeast,0,0.031861553,0.02950527,0.02647722
0066000001aPFhj,43039.29167,Darin Pellegren,MS,55,Americas,Canada,Canada,0,0.050791484,0.062902758,0.045384526
0066000000jA5H4,42410.33333,Tom Brady,PDP,5,Americas,USA,Southwest,0,0.180461959,0.182063612,0.038807039
0066000001SnCBD,42886.29167,Raeann Uriarte,MA,55,Americas,Latin America,Latin America,0,0.039196424,0.041390023,0.028312703
0066000001ME0YP,42766.33333,Raeann Uriarte,MA,26.552,Americas,Latin America,Latin America,0,0.008235534,0.010185933,0.00554856
00660000012LRJI,42794.33333,Tom Brady,MA,5,Americas,USA,Southwest,0,0,0.010185933,0
